,,,SOC,SEI,Power,T,,delta SEI
156,24346,25426,80,1.78E-08,0.57895,23,1.7778E-08,-2.1994912268E-11
157,24346,25426,80,1.78E-08,0.68421,23,1.7778E-08,-2.1994776425E-11
158,24346,25426,80,1.78E-08,0.78947,23,1.7778E-08,-2.1994637586E-11
159,24346,25426,80,1.78E-08,0.89474,23,1.7778E-08,-2.1994493497E-11
160,24346,25426,80,1.78E-08,1,23,1.7778E-08,-2.1994343766E-11
161,24346,25426,80,1.89E-08,-1,23,1.8889E-08,-1.0999999544E-11
162,24346,25426,80,1.89E-08,-0.89474,23,1.8889E-08,-1.0999999977E-11
163,24346,25426,80,1.89E-08,-0.78947,23,1.8889E-08,-1.0999999395E-11
164,24346,25426,80,1.89E-08,-0.68421,23,1.8889E-08,-1.0999999636E-11
165,24346,25426,80,1.89E-08,-0.57895,23,1.8889E-08,-1.0999999473E-11
166,24346,25426,80,1.89E-08,-0.47368,23,1.8889E-08,-1.1000000867E-11
167,24346,25426,80,1.89E-08,-0.36842,23,1.8889E-08,-1.0999999829E-11
168,24346,25426,80,1.89E-08,-0.26316,23,1.8889E-08,-1.1000000572E-11
169,24346,25426,80,1.89E-08,-0.15789,23,1.8889E-08,-1.1000000291E-11
170,24346,25426,80,1.89E-08,-0.052632,23,1.8889E-08,-1.0999999987E-11
171,24346,25426,80,1.89E-08,0.052632,23,1.8889E-08,-1.0995526207E-11
172,24346,25426,80,1.89E-08,0.15789,23,1.8889E-08,-1.0995413726E-11
173,24346,25426,80,1.89E-08,0.26316,23,1.8889E-08,-1.0995299636E-11
174,24346,25426,80,1.89E-08,0.36842,23,1.8889E-08,-1.0995180389E-11
175,24346,25426,80,1.89E-08,0.47368,23,1.8889E-08,-1.0995055886E-11
176,24346,25426,80,1.89E-08,0.57895,23,,#VALUE!
177,24346,25426,80,1.89E-08,0.68421,23,1.8889E-08,-1.0994798052E-11
178,24346,25426,80,1.89E-08,0.78947,23,1.8889E-08,-1.0994663820E-11
179,24346,25426,80,1.89E-08,0.89474,23,1.8889E-08,-1.0994523405E-11
180,24346,25426,80,1.89E-08,1,23,1.8889E-08,-1.0994379045E-11
181,24346,25426,80,2.00E-08,-1,23,2E-08,4.7019923868E-19
182,24346,25426,80,2.00E-08,-0.89474,23,2E-08,-5.8579938364E-19
183,24346,25426,80,2.00E-08,-0.78947,23,2E-08,7.6840115823E-19
184,24346,25426,80,2.00E-08,-0.68421,23,2E-08,1.3849981304E-19
185,24346,25426,80,2.00E-08,-0.57895,23,2E-08,-5.7149908521E-19
186,24346,25426,80,2.00E-08,-0.47368,23,2E-08,-1.6390087529E-19
187,24346,25426,80,2.00E-08,-0.36842,23,2E-08,-3.3990174859E-19
188,24346,25426,80,2.00E-08,-0.26316,23,2E-08,5.3219807995E-19
189,24346,25426,80,2.00E-08,-0.15789,23,2E-08,5.9789938164E-19
190,24346,25426,80,2.00E-08,-0.052632,23,2E-08,2.0299012232E-20
191,24346,25426,80,2.00E-08,0.052632,23,,#VALUE!
192,24346,25426,80,2.00E-08,0.15789,23,2E-08,4.5815113005E-15
193,24346,25426,80,2.00E-08,0.26316,23,2E-08,4.6934156984E-15
194,24346,25426,80,2.00E-08,0.36842,23,2E-08,4.8109887982E-15
195,24346,25426,80,2.00E-08,0.47368,23,,#VALUE!
196,24346,25426,80,2.00E-08,0.57895,23,2E-08,5.0541914987E-15
197,24346,25426,80,2.00E-08,0.68421,23,2E-08,5.1821573982E-15
198,24346,25426,80,2.00E-08,0.78947,23,2E-08,5.3127617988E-15
199,24346,25426,80,2.00E-08,0.89474,23,,#VALUE!
200,24346,25426,80,2.00E-08,1,23,2E-08,5.5883675991E-15
201,24606,25171,79,1.00E-08,-1,23,1E-08,4.0730042490E-19
202,24606,25171,79,1.00E-08,-0.89474,23,1E-08,-6.5480940779E-19
203,24606,25171,79,1.00E-08,-0.78947,23,1E-08,1.3789927992E-19
204,24606,25171,79,1.00E-08,-0.68421,23,1E-08,5.3249917369E-19
205,24606,25171,79,1.00E-08,-0.57895,23,1E-08,-5.9928077327E-19
206,24606,25171,79,1.00E-08,-0.47368,23,1E-08,4.8240015271E-19
207,24606,25171,79,1.00E-08,-0.36842,23,,#VALUE!
208,24606,25171,79,1.00E-08,-0.26316,23,,#VALUE!
209,24606,25171,79,1.00E-08,-0.15789,23,1E-08,6.9999332157E-20
210,24606,25171,79,1.00E-08,-0.052632,23,1E-08,2.4899790799E-20
211,24606,25171,79,1.00E-08,0.052632,23,1E-08,4.4928781004E-15
212,24606,25171,79,1.00E-08,0.15789,23,1E-08,4.6372288994E-15
213,24606,25171,79,1.00E-08,0.26316,23,1E-08,4.7882690005E-15
214,24606,25171,79,1.00E-08,0.36842,23,1E-08,4.9466536002E-15
215,24606,25171,79,1.00E-08,0.47368,23,1E-08,5.1116710006E-15
216,24606,25171,79,1.00E-08,0.57895,23,1E-08,5.2845161004E-15
